Address,Latitude,Longitude,X,Y,Distance from center
"39 Villa Moderne, Arcueil, 94110",48.808308829865474,2.3269557623738377,-429434.674999763,5484092.610533454,5992.495306631506
"23bis Rue Vaucouleurs, Arcueil, 94110",48.809199675892415,2.3349284740892564,-428834.674999763,5484092.610533454,5840.3767001795895
"Gentilly, 94250",48.81008998238444,2.3429015766463053,-428234.674999763,5484092.610533454,5747.173218200459
"Le Kremlin-Bicêtre, 94270",48.81097974927503,2.3508750698328114,-427634.674999763,5484092.610533454,5715.767664977349
"21 Rue de la Convention, Le Kremlin-Bicêtre, 94270",48.811868976497735,2.358848953436525,-427034.674999763,5484092.610533454,5747.173218200459
"Rue Paul Andrieux, Ivry-sur-Seine, 94200",48.81275766398613,2.366823227245133,-426434.674999763,5484092.610533454,5840.3767001795895
"1 Cité Pierre et Marie Curie, Ivry-sur-Seine, 94200",48.81364581167382,2.3747978910462395,-425834.674999763,5484092.610533454,5992.495306631506
"45 Rue Fénelon, Montrouge, 92120",48.811531718540024,2.3138278603624007,-430334.674999763,5484612.225775725,5855.7663887829085
"Square Buffalo, Montrouge, 92120",48.812423516010725,2.321800671815356,-429734.674999763,5484612.225775725,5604.462507680789
"Avenue Vladimir Ilitch Lénine, Gentilly, 94250",48.81331477396526,2.3297738745522807,-429134.674999763,5484612.225775725,5408.32691319595
NO ADDRESS,48.814205492337074,2.3377474683610506,-428534.674999763,5484612.225775725,5273.518749374049
"13 Avenue Paul Vaillant-Couturier, Gentilly, 94250",48.81509567105964,2.345721453029472,-427934.674999763,5484612.225775725,5204.8054718692065
"4 Allée des Platanes, Gentilly, 94250",48.81598531006645,2.3536958283452694,-427334.674999763,5484612.225775725,5204.8054718692065
"Paris, 75013",48.816874409291046,2.3616705940961094,-426734.674999763,5484612.225775725,5273.518749374049
"15 Rue Bizet, Ivry-sur-Seine, 94200",48.817762968667,2.36964575006958,-426134.674999763,5484612.225775725,5408.32691319595
"34 Rue Antoine Thomas, Ivry-sur-Seine, 94200",48.81865098812792,2.377621296053197,-425534.674999763,5484612.225775725,5604.462507680789
NO ADDRESS,48.81953846760744,2.385597231834401,-424934.674999763,5484612.225775725,5855.7663887829085
"11 Avenue Irène et Frédéric Joliot-Curie, Malakoff, 92240",48.814752941938885,2.300698486350021,-431234.674999763,5485131.841017996,5901.694671871702
"6 Rue Arthur Auger, Montrouge, 92120",48.815645690971564,2.3086713968496224,-430634.674999763,5485131.841017996,5556.077753235535
"8 Passage du Manège, Montrouge, 92120",48.816537900507,2.316644699075595,-430034.674999763,5485131.841017996,5256.424640380458
"5 Rue Gabriel Péri, Montrouge, 92120",48.817429570478524,2.324618392815874,-429434.674999763,5485131.841017996,5010.987926546903
"Autoroute du Soleil, 75014",48.81832070081956,2.3325924778583107,-428834.674999763,5485131.841017996,4828.043081829203
NO ADDRESS,48.819211291463525,2.3405669539906815,-428234.674999763,5485131.841017996,4714.870093650389
"Boulevard Kellermann, 75013",48.82010134234388,2.348541821000698,-427634.674999763,5485131.841017996,4676.537180435844
"63 Rue du Moulin de la Pointe, 75013",48.82099085339415,2.3565170786760037,-427034.674999763,5485131.841017996,4714.870093650389
"7 Place de Vénétie, 75013",48.82187982454784,2.364492726804155,-426434.674999763,5485131.841017996,4828.043081829203
"46 Boulevard Masséna, 75013",48.822768255738545,2.372468765172654,-425834.674999763,5485131.841017996,5010.987926546903
"Boulevard Périphérique, 75013",48.82365614689986,2.3804451935689164,-425234.674999763,5485131.841017996,5256.424640380458
NO ADDRESS,48.8245434979654,2.3884220117803006,-424634.674999763,5485131.841017996,5556.077753235535
"Charenton-le-Pont, 94220",48.825430308868874,2.3963992195940773,-424034.674999763,5485131.841017996,5901.694671871702
"3 Rue Léon Salagnac, Malakoff, 92240",48.81886620033326,2.295540649937924,-431534.674999763,5485651.456260267,5699.999999999844
"6 Rue François Belloeuvre, Malakoff, 92240",48.819759361567755,2.30351405096178,-430934.674999763,5485651.456260267,5307.541803886072
"42 Avenue Pierre Brossolette, Malakoff, 92240",48.82065198325731,2.311487843942461,-430334.674999763,5485651.456260267,4956.813492557312
"Boulevard Périphérique, 75014",48.821544065335246,2.3194620286678687,-429734.674999763,5485651.456260267,4657.2524088778155
NO ADDRESS,48.82243560773492,2.3274366049258393,-429134.674999763,5485651.456260267,4419.275958796668
"2 Rue Georges Braque, 75014",48.82332661038972,2.335411572504128,-428534.674999763,5485651.456260267,4253.234063627137
"90 Rue Brillat-Savarin, 75013",48.82421707323309,2.3433869311904263,-427934.674999763,5485651.456260267,4167.733196834727
"21 Rue Charles Fourier, 75013",48.825106996198485,2.3513626807723447,-427334.674999763,5485651.456260267,4167.733196834727
"139 Rue de Tolbiac, 75013",48.82599637921942,2.359338821037432,-426734.674999763,5485651.456260267,4253.234063627137
"85 Rue de Tolbiac, 75013",48.826885222229414,2.3673153517731507,-426134.674999763,5485651.456260267,4419.275958796668
NO ADDRESS,48.82777352516203,2.375292272766914,-425534.674999763,5485651.456260267,4657.2524088778155
"8 Rue Alice Domon et Léonie Duquet, 75013",48.82866128795087,2.38326958380604,-424934.674999763,5485651.456260267,4956.813492557312
"18 Boulevard Poniatowski, 75012",48.82954851052958,2.3912472846777875,-424334.674999763,5485651.456260267,5307.541803886072
"12 Avenue de la Porte de Charenton, 75012",48.83043519283183,2.399225375169344,-423734.674999763,5485651.456260267,5699.999999999844
"41 Rue Sadi Carnot, Vanves, 92170",48.822979156705884,2.2903819309571922,-431834.674999763,5486171.0715025375,5556.077753235441
"104 Rue Jean Bleuzen, Vanves, 92170",48.823872730231564,2.2983558224868226,-431234.674999763,5486171.0715025375,5117.616632769378
NO ADDRESS,48.824765764164646,2.3063301062038204,-430634.674999763,5486171.0715025375,4714.870093650278
"66 Boulevard Brune, 75014",48.825658258438395,2.3143047818960634,-430034.674999763,5486171.0715025375,4357.751713899931
"48 Résidence Jean Moulin, 75014",48.826550212986135,2.3222798493513737,-429434.674999763,5486171.0715025375,4058.3247775403324
"3 Square Louise et Tony, 75014",48.82744162774124,2.3302553083574797,-428834.674999763,5486171.0715025375,3830.1436004408224
"Paris, 75014",48.828332502637075,2.338231158702041,-428234.674999763,5486171.0715025375,3686.461718233052
"13 Rue Vergniaud, 75013",48.829222837607105,2.346207400172658,-427634.674999763,5486171.0715025375,3637.306695894338
NO ADDRESS,48.83011263258474,2.354184032556854,-427034.674999763,5486171.0715025375,3686.461718233052
NO ADDRESS,48.83100188750355,2.362161055642075,-426434.674999763,5486171.0715025375,3830.1436004408224
"13 Rue Duchefdelaville, 75013",48.831890602297,2.370138469215697,-425834.674999763,5486171.0715025375,4058.3247775403324
"8 Rue Émile Durkheim, 75013",48.83277877689868,2.378116273065025,-425234.674999763,5486171.0715025375,4357.751713899931
"1 Rue de l'Ambroisie, 75012",48.83366641124219,2.3860944669772963,-424634.674999763,5486171.0715025375,4714.870093650278
"291 Rue de Charenton, 75012",48.834553505261155,2.3940730507396695,-424034.674999763,5486171.0715025375,5117.616632769378
"62 Avenue du Général Michel Bizot, 75012",48.835440058889255,2.4020520241392367,-423434.674999763,5486171.0715025375,5556.077753235441
NO ADDRESS,48.82619728547991,2.2772483398090664,-432734.674999763,5486690.686744807,5977.457653551663
"14 Rue Gabrielle d'Estrées, Vanves, 92170",48.82709181095967,2.2852223291958356,-432134.674999763,5486690.686744807,5474.486277268704
"13 Rue du Général Guillaumat, 75015",48.82798579686596,2.2931967112126834,-431534.674999763,5486690.686744807,4992.995093128307
"167 Boulevard Lefebvre, 75015",48.82887924313195,2.301171485647535,-430934.674999763,5486690.686744807,4539.823785126836
"180 Rue des Jonquilles, 75014",48.82977214969094,2.3091466522882556,-430334.674999763,5486690.686744807,4124.3181254606625
"5 Rue Bardinet, 75014",48.83066451647619,2.3171222109226273,-429734.674999763,5486690.686744807,3758.9892258429463
NO ADDRESS,48.831556343421035,2.3250981613383668,-429134.674999763,5486690.686744807,3459.7687784017235
"8 Avenue René Coty, 75014",48.83244763045883,2.3330745033231137,-428534.674999763,5486690.686744807,3244.996147918107
"42 Rue de la Santé, 75014",48.833338377522956,2.341051236664442,-427934.674999763,5486690.686744807,3132.0919526737002
"19 Rue des Cordelières, 75013",48.83422858454684,2.3490283611498537,-427334.674999763,5486690.686744807,3132.0919526737002
"13 Rue Watteau, 75013",48.83511825146396,2.3570058765667685,-426734.674999763,5486690.686744807,3244.996147918107
"Paris, 75013",48.836007378207775,2.364983782702543,-426134.674999763,5486690.686744807,3459.7687784017235
NO ADDRESS,48.83689596471185,2.3729620793444672,-425534.674999763,5486690.686744807,3758.9892258429463
"57P Rue Paul Belmondo, 75012",48.837784010909715,2.380940766279747,-424934.674999763,5486690.686744807,4124.3181254606625
"74 Boulevard de Bercy, 75012",48.838671516735,2.388919843295515,-424334.674999763,5486690.686744807,4539.823785126836
"54 Boulevard de Reuilly, 75012",48.839558482121305,2.3968993101788496,-423734.674999763,5486690.686744807,4992.995093128307
"124 Avenue du Général Michel Bizot, 75012",48.84044490700232,2.404879166716741,-423134.674999763,5486690.686744807,5474.486277268704
"23 Avenue Émile Laurent, 75012",48.84133079131175,2.4128594126961107,-422534.674999763,5486690.686744807,5977.457653551663
NO ADDRESS,48.83030922500023,2.272087364817211,-433034.674999763,5487210.301987078,5992.4953066316475
"2 Rue Éliane Jeannin-Gareau, Issy-les-Moulineaux, 92130",48.83120416299758,2.2800618444418266,-432434.674999763,5487210.301987078,5458.021619598288
"Place de la Porte de Versailles, 75015",48.83209856137383,2.2880367169272664,-431834.674999763,5487210.301987078,4938.623289946534
"10 Rue Montauban, 75015",48.83299242006218,2.2960119820614415,-431234.674999763,5487210.301987078,4439.5945760848845
"42 Rue Brancion, 75015",48.83388573899583,2.303987639632197,-430634.674999763,5487210.301987078,3968.626966597179
"89 Rue de la Procession, 75015",48.834778518108045,2.311963689427286,-430034.674999763,5487210.301987078,3536.947836765808
NO ADDRESS,48.835670757332096,2.3199401312344143,-429434.674999763,5487210.301987078,3160.69612585619
"3 Rue Émile Richard, 75014",48.83656245660131,2.3279169648411893,-428834.674999763,5487210.301987078,2861.8176042512437
"17 Rue Cassini, 75014",48.83745361584904,2.335894190035169,-428234.674999763,5487210.301987078,2666.458325195113
"Paris, 75005",48.83834423500868,2.343871806603821,-427634.674999763,5487210.301987078,2598.076211353764
"10 Square Adanson, 75005",48.83923431401363,2.351849814334562,-427034.674999763,5487210.301987078,2666.458325195113
"17 Rue Poliveau, 75005",48.84012385279736,2.359828213014716,-426434.674999763,5487210.301987078,2861.8176042512437
NO ADDRESS,48.84101285129339,2.367807002431548,-425834.674999763,5487210.301987078,3160.69612585619
"29 Rue Villiot, 75012",48.8419013094352,2.375786182372238,-425234.674999763,5487210.301987078,3536.947836765808
"70Bis Rue du Charolais, 75012",48.84278922715637,2.383765752623916,-424634.674999763,5487210.301987078,3968.626966597179
"99Ter Rue de Reuilly, 75012",48.84367660439052,2.3917457129736124,-424034.674999763,5487210.301987078,4439.5945760848845
"Paris, 75012",48.84456344107123,2.3997260632083144,-423434.674999763,5487210.301987078,4938.623289946534
"22 Rue de la Voûte, 75012",48.84544973713221,2.4077068031149165,-422834.674999763,5487210.301987078,5458.021619598288
NO ADDRESS,48.84633549250714,2.4156879324802403,-422234.674999763,5487210.301987078,5992.4953066316475
"Rue du Général Lucotte, 75015",48.83531621272249,2.274900476483118,-432734.674999763,5487729.917229349,5507.2679252058815
"355 Rue Lecourbe, 75015",48.83621102365812,2.2828758394184545,-432134.674999763,5487729.917229349,4956.813492557642
"6 Rue du Clos Feuquières, 75015",48.83710529485825,2.2908515952333492,-431534.674999763,5487729.917229349,4419.2759587970395
"90 Rue de l'Abbé Groult, 75015",48.837999026256,2.2988277437156253,-430934.674999763,5487729.917229349,3900.000000000191
"17 Rue de la Procession, 75015",48.83889221778462,2.306804284653024,-430334.674999763,5487729.917229349,3407.3450074803827
NO ADDRESS,48.83978486937734,2.3147812178332132,-429734.674999763,5487729.917229349,2954.6573405390836
NO ADDRESS,48.840676980967466,2.3227585430437867,-429134.674999763,5487729.917229349,2563.20112359555
"120 Boulevard du Montparnasse, 75014",48.84156855248829,2.3307362600722814,-428534.674999763,5487729.917229349,2264.9503305815538
"18Bis Rue Henri Barbusse, 75005",48.84245958387318,2.3387143687061482,-427934.674999763,5487729.917229349,2100.0000000003547
"12 Rue Amyot, 75005",48.843350075055525,2.346692868732762,-427334.674999763,5487729.917229349,2100.0000000003547
"9 Rue Linné, 75005",48.84424002596873,2.3546717599394444,-426734.674999763,5487729.917229349,2264.9503305815538
"Quai Saint-Bernard, 75005",48.845129436546245,2.3626510421134306,-426134.674999763,5487729.917229349,2563.20112359555
NO ADDRESS,48.846018306721604,2.3706307150418757,-425534.674999763,5487729.917229349,2954.6573405390836
"109 Rue de Charenton, 75012",48.84690663642828,2.3786107785118897,-424934.674999763,5487729.917229349,3407.3450074803827
"31 Rue de Reuilly, 75012",48.847794425599844,2.3865912323104834,-424334.674999763,5487729.917229349,3900.000000000191
"323 Rue du Faubourg Saint-Antoine, 75011",48.84868167416992,2.3945720762246125,-423734.674999763,5487729.917229349,4419.2759587970395
"4 Rue de Buzenval, 75020",48.849568382072086,2.4025533100411525,-423134.674999763,5487729.917229349,4956.813492557642
"8 Rue Patrice de la Tour du Pin, 75020",48.85045454924005,2.410534933546912,-422534.674999763,5487729.917229349,5507.2679252058815
NO ADDRESS,48.839427960037256,2.269738225107652,-433034.674999763,5488249.53247162,5620.498198558633
"1 Rue de la Montagne de la Fage, 75015",48.8403231836217,2.2777140784741103,-432434.674999763,5488249.53247162,5046.781152378299
"131 Rue de Lourmel, 75015",48.84121786742299,2.285690324951051,-431834.674999763,5488249.53247162,4479.955356920517
"122 Rue de la Croix Nivert, 75015",48.842112011374304,2.293666964326264,-431234.674999763,5488249.53247162,3923.009049186713
"101 Rue Mademoiselle, 75015",48.84300561540879,2.3016439963874777,-430634.674999763,5488249.53247162,3380.8283008755175
"5 Rue Ernest Renan, 75015",48.84389867945966,2.3096214209223356,-430034.674999763,5488249.53247162,2861.8176042509835
NO ADDRESS,48.84479120346018,2.317599237718417,-429434.674999763,5488249.53247162,2381.1761799583073
"16 Rue Blaise Desgoffe, 75006",48.84568318734362,2.3255774465632224,-428834.674999763,5488249.53247162,1967.2315572908133
"26 Rue Guynemer, 75006",48.8465746310433,2.3335560472441825,-428234.674999763,5488249.53247162,1670.3293088492576
"26 Rue Soufflot, 75005",48.847465534492564,2.341535039548663,-427634.674999763,5488249.53247162,1558.8457268122584
"12 Rue des Écoles, 75005",48.848355897624785,2.3495144232639467,-427034.674999763,5488249.53247162,1670.3293088492576
"27 Quai Saint-Bernard, 75005",48.84924572037341,2.3574941981772564,-426434.674999763,5488249.53247162,1967.2315572908133
NO ADDRESS,48.85013500267186,2.3654743640757263,-425834.674999763,5488249.53247162,2381.1761799583073
"10 Passage du Chantier, 75012",48.85102374445364,2.373454920746432,-425234.674999763,5488249.53247162,2861.8176042509835
"Square Louis Majorelle, 75011",48.851911945652276,2.381435867976381,-424634.674999763,5488249.53247162,3380.8283008755175
"6 Rue Alexandre Dumas, 75011",48.852799606201316,2.3894172055524825,-424034.674999763,5488249.53247162,3923.009049186713
"96 Boulevard de Charonne, 75020",48.85368672603435,2.397398933261612,-423434.674999763,5488249.53247162,4479.955356920517
"91 Rue des Pyrénées, 75020",48.854573305085005,2.4053810508905467,-422834.674999763,5488249.53247162,5046.781152378299
NO ADDRESS,48.855459343286945,2.4133635582259894,-422234.674999763,5488249.53247162,5620.498198558633
"28 Villa Molitor, 75016",48.843539404844734,2.2645750901033326,-433334.674999763,5488769.14771389,5793.962374748422
"Voie Georges Pompidou, 75016",48.84443504116739,2.272551433882071,-432734.674999763,5488769.14771389,5204.805471869277
"10 Rue du Capitaine Ménard, 75015",48.84533013765932,2.2805281710023073,-432134.674999763,5488769.14771389,4618.441295502236
"63 Rue de Lourmel, 75015",48.84622469425361,2.2885053012518144,-431534.674999763,5488769.14771389,4036.0872141221594
"4 Rue Frémicourt, 75015",48.84711871088343,2.2964828244182796,-430934.674999763,5488769.14771389,3459.768778401293
NO ADDRESS,48.84801218748195,2.304460740289344,-430334.674999763,5488769.14771389,2893.095228297951
"16 Rue Éblé, 75007",48.84890512398236,2.3124390486525552,-429734.674999763,5488769.14771389,2343.074902772076
"Paris, 75007",48.849797520317935,2.3204177492953924,-429134.674999763,5488769.14771389,1824.828759089568
"21B Rue du Cherche-Midi, 75006",48.850689376421926,2.328396842005269,-428534.674999763,5488769.14771389,1374.7727084868875
"7 Rue Lobineau, 75006",48.85158069222766,2.3363763265695217,-427934.674999763,5488769.14771389,1081.665382639369
"17 Rue Saint-Séverin, 75005",48.85247146766847,2.3443562027754177,-427334.674999763,5488769.14771389,1081.665382639369
NO ADDRESS,48.85336170267776,2.3523364704101524,-426734.674999763,5488769.14771389,1374.7727084868875
"14 Rue Charlemagne, 75004",48.854251397188925,2.3603171292608383,-426134.674999763,5488769.14771389,1824.828759089568
"6 Impasse Jean Beausire, 75004",48.85514055113541,2.3682981791145346,-425534.674999763,5488769.14771389,2343.074902772076
"86 Rue de la Roquette, 75011",48.85602916445074,2.3762796197582117,-424934.674999763,5488769.14771389,2893.095228297951
"19 Rue de Belfort, 75011",48.8569172370684,2.3842614509787747,-424334.674999763,5488769.14771389,3459.768778401293
"194 Boulevard de Charonne, 75020",48.85780476892195,2.3922436725630645,-423734.674999763,5488769.14771389,4036.0872141221594
NO ADDRESS,48.85869175994498,2.4002262842978275,-423134.674999763,5488769.14771389,4618.441295502236
"80 Square Vitruve, 75020",48.85957821007112,2.4082092859697726,-422534.674999763,5488769.14771389,5204.805471869277
"95 Rue Jules Ferry, Bagnolet, 93170",48.86046411923402,2.416192677365506,-421934.674999763,5488769.14771389,5793.962374748422
"20 Rue des Perchamps, 75016",48.84854659619802,2.267387905430163,-433034.674999763,5489288.762956161,5424.9423960075455
"2 Villa des Glizières, 75016",48.84944210547001,2.2753651331748728,-432434.674999763,5489288.762956161,4828.043081829334
"59 Quai de Grenelle, 75015",48.85033707479678,2.2833427542799343,-431834.674999763,5489288.762956161,4232.020793899776
NO ADDRESS,48.851231504111404,2.2913207685330272,-431234.674999763,5489288.762956161,3637.306695894655
NO ADDRESS,48.85212539334705,2.29929917572176,-430634.674999763,5489288.762956161,3044.667469527681
"Paris, 75007",48.85301874243686,2.307277975633651,-430034.674999763,5489288.762956161,2455.605831561754
"Boulevard des Invalides, 75007",48.853911551314084,2.3152571680561733,-429434.674999763,5489288.762956161,1873.4993995195443
"44 Rue de Varenne, 75007",48.85480381991193,2.3232367527767117,-428834.674999763,5489288.762956161,1307.6696830622377
"45 Rue des Saints-Pères, 75006",48.85569554816368,2.3312167295825788,-428234.674999763,5489288.762956161,793.7253933194359
"11A Quai de Conti, 75006",48.85658673600267,2.3391970982610197,-427634.674999763,5489288.762956161,519.6152422707528
NO ADDRESS,48.857477383362195,2.3471778585992014,-427034.674999763,5489288.762956161,793.7253933194359
"30 Rue des Archives, 75004",48.858367490175674,2.355159010384233,-426434.674999763,5489288.762956161,1307.6696830622377
"6 Rue de Thorigny, 75003",48.85925705637652,2.3631405534031322,-425834.674999763,5489288.762956161,1873.4993995195443
"21 Rue Pelée, 75011",48.86014608189817,2.3711224874428507,-425234.674999763,5489288.762956161,2455.605831561754
"7 Rue Rochebrune, 75011",48.8610345666741,2.3791048122902807,-424634.674999763,5489288.762956161,3044.667469527681
"59 Boulevard de Ménilmontant, 75011",48.86192251063784,2.387087527732228,-424034.674999763,5489288.762956161,3637.306695894655
NO ADDRESS,48.86280991372293,2.395070633555436,-423434.674999763,5489288.762956161,4232.020793899776
"7 Rue de la Cour des Noues, 75020",48.86369677586297,2.4030541295465646,-422834.674999763,5489288.762956161,4828.043081829334
"16 Rue Joseph Python, 75020",48.864583096991566,2.4110380154922093,-422234.674999763,5489288.762956161,5424.9423960075455
"52 Boulevard de Montmorency, 75016",48.85265784861641,2.262223492906177,-433334.674999763,5489808.378198432,5700.0
"4Bis Avenue Adrien Hébrard, 75016",48.85355377075791,2.2702012112564702,-432734.674999763,5489808.378198432,5100.0
"2 Rue des Vignes, 75016",48.85444915290659,2.27817932319829,-432134.674999763,5489808.378198432,4500.0
NO ADDRESS,48.85534399499552,2.2861578285193014,-431534.674999763,5489808.378198432,3900.0
"6 Avenue Charles Floquet, 75007",48.856238296957784,2.294136727007083,-430934.674999763,5489808.378198432,3300.0
"16 Rue Augereau, 75007",48.857132058726535,2.3021160184491514,-430334.674999763,5489808.378198432,2700.0
"148 Rue de Grenelle, 75007",48.858025280234926,2.3100957026329354,-429734.674999763,5489808.378198432,2100.0
"17 Rue de Bourgogne, 75007",48.858917961416175,2.3180757793457993,-429134.674999763,5489808.378198432,1500.0
"62 Rue de Lille, 75007",48.85981010220351,2.326056248375052,-428534.674999763,5489808.378198432,900.0
NO ADDRESS,48.86070170253023,2.334037109507899,-427934.674999763,5489808.378198432,300.0
"104 Rue Saint-Honoré, 75001",48.861592762329614,2.342018362531494,-427334.674999763,5489808.378198432,300.0
"1 Rue de la Grande Truanderie, 75001",48.86248328153502,2.350000007232911,-426734.674999763,5489808.378198432,900.0
